company,product_name,download_amount,slogan,update_time,download_rankings_amount_1,download_rankings_amount_2,download_rankings_amount_3,download_rankings_amount_4,download_rankings_amount_5,download_rankings_amount_6,download_rankings_amount_7,download_rankings_amount_8,download_rankings_amount_9,download_rankings_amount_10,url
成都聚车网络科技有限公司,查车价,12.3万下载量,尽全网汽车底价，买车不再求人,APP更新：2016.03.08,"360手机助手,7.5分,7万下载","华为应用市场,6.0分,1.8万下载","应用宝,6.0分,1.6万下载","百度手机助手,8.6分,1万下载","豌豆荚,暂无,7905下载","魅族应用商店,10分,1882下载",,,,,http://www.jobui.com/company/11867045/products/47731/
广州市考拉先生网络科技有限公司,考拉商圈,50.9万下载量,谈生意上考拉商圈,APP更新：2018.01.26,"华为应用市场,8.0分,16万下载","百度手机助手,10分,15万下载","应用宝,10分,11万下载","魅族应用商店,10分,3.6万下载","豌豆荚,暂无,3.3万下载","360手机助手,6.9分,2万下载","小米应用商店,10分,暂无",,,,http://www.jobui.com/company/11800328/products/13278/
深圳市点易达科技有限公司,嘀嗒快递,304.2万下载量,APP更新：2016.08.10,数据更新：2018.01.28,"百度手机助手,9.7分,144万下载","360手机助手,9.6分,90万下载","豌豆荚,7.8分,26.7万下载","魅族应用商店,9.6分,15.9万下载","华为应用市场,10分,10.4万下载","OPPO软件商店,10分,10万下载","应用宝,9.6分,7.2万下载","小米应用商店,9.0分,暂无",,,http://www.jobui.com/company/11695325/products/13760/
安徽空港百大启明星跨境电商有限公司,百大易购,13.9万下载量,APP更新：2017.12.16,数据更新：2018.01.28,"华为应用市场,9.0分,6.6万下载","百度手机助手,10分,4万下载","360手机助手,7.8分,2万下载","魅族应用商店,9.4分,1.3万下载","小米应用商店,10分,暂无",,,,,,http://www.jobui.com/company/13096918/products/45096/
北京巅峰科技有限公司,车易拍商户版,23.9万下载量,APP更新：2018.01.21,数据更新：2018.01.28,"百度手机助手,8.6分,12万下载","华为应用市场,9.0分,8.9万下载","360手机助手,7.7分,3万下载","小米应用商店,9.0分,暂无",,,,,,,http://www.jobui.com/company/310189/products/68188/
乐天游乐购咨询（北京）有限公司,乐天免税店,227.3万下载量,APP更新：2017.12.21,数据更新：2018.01.28,"豌豆荚,4.0分,100.1万下载","百度手机助手,暂无,76万下载","应用宝,5.2分,33万下载","魅族应用商店,4.8分,18.2万下载",,,,,,,http://www.jobui.com/company/12229755/products/13144/
杭州贝购科技有限公司,贝贝优品,8万下载量,贝贝母婴品牌特卖商城,APP更新：2017.11.20,"豌豆荚,暂无,7.9万下载","华为应用市场,6.0分,619下载","百度手机助手,暂无,62下载",,,,,,,,http://www.jobui.com/company/12075518/products/30453/
北京环球国广媒体科技有限公司,聚鲨商城(环球购物),261.1万下载量,全球家居特卖商城,APP更新：2018.01.10,"应用宝,9.6分,248万下载","豌豆荚,7.7分,6.6万下载","魅族应用商店,8.4分,6.5万下载","小米应用商店,9.0分,暂无",,,,,,,http://www.jobui.com/company/11966762/products/30345/
广州跨界网络技术有限公司,零钱淘,428.4万下载量,现金红包助力抢购,APP更新：2017.08.11,"OPPO软件商店,9.0分,150万下载","百度手机助手,8.1分,149万下载","豌豆荚,9.3分,60.5万下载","华为应用市场,7.0分,53.9万下载","应用宝,9.8分,15万下载",,,,,,http://www.jobui.com/company/12608191/products/39459/
北京世纪良友网络技术有限公司,爱宠团,7.1万下载量,全球宠物正品特卖,APP更新：2018.01.05,"华为应用市场,5.0分,1.8万下载","豌豆荚,暂无,1.6万下载","应用宝,6.4分,1.2万下载","360手机助手,7.1分,1万下载","百度手机助手,8.4分,1万下载","魅族应用商店,暂无,5082下载",,,,,http://www.jobui.com/company/14578193/products/76178/
上海小鬼网络科技有限公司,聚美9块9包邮,6.1万下载量,海量化妆品、衣服饰品特卖，一个就够了！,APP更新：2016.10.20,"应用宝,9.4分,4.2万下载","豌豆荚,10分,1.6万下载","百度手机助手,9.0分,3088下载","小米应用商店,9.0分,暂无",,,,,,,http://www.jobui.com/company/11307160/products/30913/
北京思然加互联网科技有限公司,美肤实验室,17.5万下载量,APP更新：2014.09.02,数据更新：2018.01.28,"百度手机助手,7.6分,11万下载","360手机助手,6.3分,5万下载","豌豆荚,暂无,1.3万下载","应用宝,10分,2193下载","小米应用商店,5.0分,暂无",,,,,,http://www.jobui.com/company/12937806/products/14481/
北京无二科技有限公司,小鱼定制,5.6万下载量,无定制不生活,APP更新：2018.01.19,"360手机助手,9.4分,2万下载","豌豆荚,5.0分,1.7万下载","应用宝,10分,1.7万下载","魅族应用商店,10分,1148下载","华为应用市场,10分,962下载","百度手机助手,暂无,121下载",,,,,http://www.jobui.com/company/13954701/products/79471/
恒日云商（北京）科技有限公司,油加加,7.4万下载量,专业品质柴油配送,APP更新：2018.01.04,"百度手机助手,暂无,2万下载","应用宝,10分,2万下载","华为应用市场,10分,1.2万下载","豌豆荚,10分,1.2万下载","360手机助手,7.8分,1万下载","魅族应用商店,暂无,70下载","小米应用商店,10分,暂无",,,,http://www.jobui.com/company/12806456/products/54426/
北京云杉信息技术有限公司,美菜商城,286.1万下载量,帮全国餐馆做采购,APP更新：2018.01.25,"华为应用市场,6.0分,101万下载","应用宝,9.8分,85万下载","百度手机助手,2.0分,57万下载","豌豆荚,暂无,22.3万下载","魅族应用商店,9.8分,18.8万下载","360手机助手,6.0分,2万下载","小米应用商店,5.0分,暂无",,,,http://www.jobui.com/company/11701265/products/13223/
浙江元幸信息科技有限公司,爱优惠网购宝,5.3万下载量,APP更新：2015.08.05,数据更新：2017.07.20,"豌豆荚,暂无,5.3万下载",,,,,,,,,,http://www.jobui.com/company/8790313/products/30905/
厦门吾轶科技有限公司,易集分,53.1万下载量,拼团立省开团即赚,APP更新：2018.01.23,"360手机助手,9.7分,29万下载","百度手机助手,6.0分,15万下载","华为应用市场,7.0分,4.6万下载","豌豆荚,4.0分,2.7万下载","魅族应用商店,6.4分,1.8万下载","小米应用商店,10分,暂无",,,,,http://www.jobui.com/company/12465617/products/68510/
北京快康达科技有限公司,快康达,40.7万下载量,胰岛素泵分期购,APP更新：2017.12.22,"百度手机助手,10分,19万下载","360手机助手,9.4分,11万下载","应用宝,10分,7.2万下载","魅族应用商店,10分,3.1万下载","华为应用市场,10分,3681下载","豌豆荚,10分,690下载","小米应用商店,暂无,暂无",,,,http://www.jobui.com/company/13193896/products/57949/
浙江盛州创网络科技有限公司,早早街,16.8万下载量,自用省钱分享赚钱,APP更新：2017.12.26,"应用宝,9.4分,16万下载","华为应用市场,10分,4909下载","魅族应用商店,10分,1063下载","百度手机助手,暂无,983下载","豌豆荚,暂无,765下载","360手机助手,7.6分,424下载",,,,,http://www.jobui.com/company/14066455/products/77647/
成都每获在线科技有限公司,每获,35.7万下载量,周边折扣信息，掌上赚钱神器,APP更新：2016.05.13,"应用宝,9.2分,12万下载","百度手机助手,7.7分,11万下载","豌豆荚,8.8分,8.3万下载","360手机助手,8.9分,2万下载","华为应用市场,9.0分,1.3万下载","魅族应用商店,9.6分,1万下载",,,,,http://www.jobui.com/company/12609133/products/31054/
上海好屋网信息技术有限公司,抢钱宝,27.3万下载量,APP更新：2016.10.24,数据更新：2017.07.12,"豌豆荚,暂无,8.3万下载","百度手机助手,7.5分,7万下载","360手机助手,5.0分,5万下载","应用宝,7.6分,3.8万下载","华为应用市场,9.0分,2万下载","OPPO软件商店,8.0分,1万下载","魅族应用商店,10分,1345下载","小米应用商店,5.0分,暂无",,,http://www.jobui.com/company/11590868/products/30654/
复乾国际贸易（上海）有限公司,快掌柜,5.4万下载量,便捷、快速、海淘,APP更新：2018.01.03,"应用宝,9.6分,2.7万下载","华为应用市场,5.0分,1.2万下载","豌豆荚,5.0分,8220下载","百度手机助手,6.0分,5243下载","魅族应用商店,5.6分,1600下载",,,,,,http://www.jobui.com/company/14668649/products/78275/
深圳浩然百川信息科技有限公司,选眼镜,23.5万下载量,在线试戴一站配镜,APP更新：2017.12.21,"豌豆荚,10分,8.3万下载","360手机助手,7.9分,8万下载","应用宝,8.4分,4万下载","百度手机助手,3.6分,1万下载","OPPO软件商店,3.0分,1万下载","华为应用市场,4.0分,6870下载","魅族应用商店,2.0分,5308下载","小米应用商店,8.0分,暂无",,,http://www.jobui.com/company/12249405/products/23111/
浙江畅唐网络股份有限公司,跑得快,33.8万下载量,专业的物流快递,APP更新：2017.11.17,"360手机助手,9.4分,21万下载","魅族应用商店,8.0分,11.9万下载","豌豆荚,暂无,8400下载",,,,,,,,http://www.jobui.com/company/12645499/products/69643/
深圳太惊喜科技有限公司,抢多多,8.4万下载量,1元抢多多壕手机,APP更新：2017.08.16,"百度手机助手,2.0分,4万下载","360手机助手,9.7分,3万下载","豌豆荚,10分,1.3万下载","魅族应用商店,暂无,453下载","应用宝,暂无,272下载","小米应用商店,暂无,暂无",,,,,http://www.jobui.com/company/14133302/products/47633/
